freq,vadc,iadc,volts,curr,imp,pow

 56001,   777,    54,  2555,   108,   277, 23499
 56002,   777,    52,  2555,   104,   267, 24403
 56003,   777,    55,  2555,   110,   283, 23072
 56004,   777,    53,  2555,   106,   272, 23942
 56005,   778,    54,  2559,   108,   278, 23529
 56006,   777,    54,  2555,   108,   277, 23499
 56007,   777,    54,  2555,   108,   277, 23499
 56008,   777,    54,  2555,   108,   277, 23499
 56009,   777,    55,  2555,   110,   283, 23072
 56010,   777,    54,  2555,   108,   277, 23499
 56011,   777,    54,  2555,   108,   277, 23499
 56012,   777,    54,  2555,   108,   277, 23499
 56013,   777,    54,  2555,   108,   277, 23499
 56014,   777,    53,  2555,   106,   272, 23942
 56015,   777,    54,  2555,   108,   277, 23499
 56016,   777,    53,  2555,   106,   272, 23942
 56017,   777,    49,  2555,    98,   252, 25897
 56018,   777,    52,  2555,   104,   267, 24403
 56019,   776,    53,  2552,   106,   272, 23911
 56020,   777,    53,  2555,   106,   272, 23942
 56021,   777,    53,  2555,   106,   272, 23942
 56022,   777,    53,  2555,   106,   272, 23942
 56023,   777,    54,  2555,   108,   277, 23499
 56024,   777,    53,  2555,   106,   272, 23942
 56025,   777,    53,  2555,   106,   272, 23942
 56026,   777,    53,  2555,   106,   272, 23942
 56027,   777,    54,  2555,   108,   277, 23499
 56028,   777,    54,  2555,   108,   277, 23499
 56029,   777,    51,  2555,   102,   262, 24881
 56030,   777,    54,  2555,   108,   277, 23499
 56031,   776,    51,  2552,   102,   262, 24849
 56032,   777,    51,  2555,   102,   262, 24881
 56033,   777,    54,  2555,   108,   277, 23499
 56034,   777,    53,  2555,   106,   272, 23942
 56035,   777,    53,  2555,   106,   272, 23942
 56036,   777,    51,  2555,   102,   262, 24881
 56037,   777,    55,  2555,   110,   283, 23072
 56038,   777,    54,  2555,   108,   277, 23499
 56039,   777,    51,  2555,   102,   262, 24881
 56040,   777,    53,  2555,   106,   272, 23942
 56039,   775,   377,  2549,   759,  1935,  3357
 56040,   777,    50,  2555,   100,   257, 25379
 56041,   777,    54,  2555,   108,   277, 23499
 56042,   776,    52,  2552,   104,   267, 24371
 56043,   776,    52,  2552,   104,   267, 24371
 56044,   777,    49,  2555,    98,   252, 25897
 56045,   777,    53,  2555,   106,   272, 23942
 56046,   776,    54,  2552,   108,   277, 23469
 56047,   777,    54,  2555,   108,   277, 23499
