  freq,  vadc,  iadc, volts,  curr,   imp,   pow

 56001,   777,    52,  2555,   104, 24403,   267
 56002,   777,    51,  2555,   102, 24881,   262
 56003,   777,    50,  2555,   100, 25379,   257
 56004,   777,    53,  2555,   106, 23942,   272
 56005,   777,    54,  2555,   108, 23499,   277
 56006,   777,    51,  2555,   102, 24881,   262
 56007,   777,    50,  2555,   100, 25379,   257
 56008,   777,    51,  2555,   102, 24881,   262
 56009,   777,    48,  2555,    96, 26436,   247
 56010,   777,    51,  2555,   102, 24881,   262
 56011,   777,    51,  2555,   102, 24881,   262
 56012,   777,    54,  2555,   108, 23499,   277
 56013,   777,    54,  2555,   108, 23499,   277
 56014,   777,    53,  2555,   106, 23942,   272
 56015,   777,    51,  2555,   102, 24881,   262
 56016,   777,    53,  2555,   106, 23942,   272
 56017,   777,    51,  2555,   102, 24881,   262
 56018,   777,    49,  2555,    98, 25897,   252
 56019,   776,    50,  2552,   100, 25346,   257
 56020,   777,    51,  2555,   102, 24881,   262
 56021,   777,    48,  2555,    96, 26436,   247
 56022,   777,    52,  2555,   104, 24403,   267
 56023,   776,    52,  2552,   104, 24371,   267
 56024,   777,    51,  2555,   102, 24881,   262
 56025,   777,    51,  2555,   102, 24881,   262
 56026,   777,    51,  2555,   102, 24881,   262
 56027,   776,    52,  2552,   104, 24371,   267
 56028,   776,    53,  2552,   106, 23911,   272
 56029,   777,    50,  2555,   100, 25379,   257
 56030,   777,    54,  2555,   108, 23499,   277
 56031,   777,    54,  2555,   108, 23499,   277
 56032,   777,    54,  2555,   108, 23499,   277
 56033,   777,    52,  2555,   104, 24403,   267
 56034,   777,    57,  2555,   114, 22262,   293
 56035,   777,    54,  2555,   108, 23499,   277
 56036,   777,    55,  2555,   110, 23072,   283
 56037,   777,    52,  2555,   104, 24403,   267
 56038,   776,    54,  2552,   108, 23469,   277
 56039,   776,    53,  2552,   106, 23911,   272
 56040,   776,    54,  2552,   108, 23469,   277
 56039,   776,   560,  2552,  1127,  2263,  2879
 56040,   776,    59,  2552,   118, 21480,   303
 56041,   777,    58,  2555,   116, 21878,   298
 56042,   777,    57,  2555,   114, 22262,   293
 56043,   776,    66,  2552,   132, 19201,   339
 56044,   777,    64,  2555,   128, 19827,   329
 56045,   776,    61,  2552,   122, 20775,   313
 56046,   776,    57,  2552,   114, 22233,   293
 56047,   776,    62,  2552,   124, 20440,   318
